"Source:","E:\KPPTRv3\kp-ptr\kp-ptr.kicad_sch"
"Date:","26.04.2022 18:11:41"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","149"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","Comment","DESCRIPTION","EU_RoHS_Compliance","Field4","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PACKAGE","PARTREV","PRICE","STANDARD"
"","","ANT1","TBD","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","","","","","",""
"","","C1","TBD","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C2","TBD","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C3","TBD","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C4","10u","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C5","1u","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C6","1u","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C7","100n","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C8","TBD","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C9","10u","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C10","1u","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C11","100n","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C12","100n","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C13","0.1uF","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C14","1uF","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C15","12p","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C16","12p","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
"","","C17","100nF","Device:C","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder","~","","","","","","","","","","","","",""
