Designator,Mid X,Mid Y,Rotation,Layer
D2,148.59,-88.265,180.0,top
R27,162.56,-89.2556,0.0,top
R34,166.0652,-83.312,180.0,top
R16,149.352,-93.345,0.0,top
R42,157.0736,-73.3552,0.0,top
R59,151.892,-97.9424,180.0,top
R39,166.0652,-84.2772,180.0,top
R37,166.0652,-86.749466,180.0,top
R15,161.036,-56.007,90.0,top
C3,148.336,-68.834,180.0,top
R60,145.3726,-108.8136,180.0,top
F1,168.91,-115.1128,180.0,top
C24,143.256,-72.0344,180.0,top
R41,149.1488,-36.5252,-90.0,top
R38,166.0652,-85.4964,180.0,top
R8,149.5552,-59.0296,0.0,top
C6,148.7932,-66.9036,180.0,top
C46,166.1668,-41.1988,180.0,top
U12,148.352,-50.546,0.0,top
R14,148.336,-73.2536,0.0,top
R24,169.9768,-109.9312,180.0,top
C37,164.1348,-113.3348,180.0,top
R44,154.8384,-106.426,-90.0,top
R36,166.0652,-88.002532,180.0,top
R54,154.7876,-112.7252,-90.0,top
Y1,149.565,-55.623,90.0,top
R25,169.8752,-106.426,180.0,top
L3,143.256,-90.932,-90.0,top
U9,164.1856,-111.252,-90.0,top
C32,148.082,-89.535,-90.0,top
R50,145.4234,-102.7684,180.0,top
C17,167.2844,-43.2308,90.0,top
U4,163.4044,-55.0518,-90.0,top
C23,143.256,-73.2536,180.0,top
C16,166.2684,-49.022,180.0,top
R4,145.796,-57.931269,180.0,top
F3,149.2504,-117.6528,-90.0,top
R55,153.8224,-97.9424,0.0,top
C14,149.0472,-58.166,0.0,top
C10,158.6992,-67.0052,-45.0,top
C49,145.3726,-109.7534,180.0,top
U6,145.669,-91.186,180.0,top
C42,144.9832,-53.848,180.0,top
R1,145.796,-59.182,180.0,top
C4,150.2664,-68.4784,90.0,top
R52,146.8628,-105.283,-90.0,top
U11,166.5224,-60.591,0.0,top
R35,166.0652,-89.2556,180.0,top
L1,147.9574,-63.6016,0.0,top
R58,154.7876,-110.744,90.0,top
C41,151.511,-50.546,0.0,top
F2,149.3012,-105.3084,-90.0,top
AE1,142.494,-66.9036,-90.0,top
R32,162.56,-88.0364,0.0,top
D3,166.6748,-77.9272,180.0,top
C28,163.322,-51.181,180.0,top
C11,154.432,-55.2196,45.0,top
C12,161.036,-61.8744,0.0,top
Q4,145.1186,-111.76,90.0,top
R51,145.5758,-114.9096,180.0,top
U1,155.194,-62.611,45.0,top
R3,145.796,-56.642,180.0,top
R30,145.796,-39.116,90.0,top
C22,164.9476,-52.578,0.0,top
R17,149.352,-92.202,180.0,top
FB2,144.716,-51.308,0.0,top
R21,157.6324,-119.3292,90.0,top
C26,148.59,-91.186,180.0,top
R12,150.368,-72.4916,-90.0,top
F5,149.1996,-99.3648,-90.0,top
C39,169.471289,-57.7074,180.0,top
U3,167.039625,-46.219911,-90.0,top
R6,160.401,-65.628576,135.0,top
R47,144.6126,-120.0404,180.0,top
R49,155.0416,-116.6876,90.0,top
R29,146.939,-39.116,-90.0,top
U2,155.4226,-46.6852,180.0,top
D4,159.7152,-115.0112,180.0,top
C9,149.352,-60.452,90.0,top
R19,158.496,-113.284,0.0,top
C33,158.496,-110.998,180.0,top
C50,145.5758,-97.8408,180.0,top
R13,151.6888,-72.4916,90.0,top
R20,158.496,-112.014,180.0,top
U5,147.066,-79.883,-90.0,top
Q5,145.1186,-99.822,90.0,top
R2,145.796,-60.452,180.0,top
R11,149.3012,-71.4756,-90.0,top
L2,149.4028,-65.532,45.0,top
C21,166.2176,-55.5244,0.0,top
C1,147.4724,-62.1284,90.0,top
C5,148.7932,-67.7164,180.0,top
R18,163.04,-45.847,180.0,top
C20,166.7764,-54.4576,0.0,top
R23,170.1292,-112.6744,180.0,top
R43,168.5036,-84.2772,0.0,top
R7,161.036,-64.9732,135.0,top
R9,165.608,-43.942,0.0,top
C13,161.036,-60.9092,0.0,top
R56,144.6106,-113.7412,180.0,top
C19,169.7736,-46.3804,90.0,top
C36,164.1348,-108.8136,180.0,top
C44,167.6908,-56.5404,90.0,top
R45,155.0416,-118.618,-90.0,top
R5,150.2664,-66.548,-90.0,top
R28,150.241,-36.576,90.0,top
FB1,145.6436,-72.2376,180.0,top
C30,145.26,-87.376,180.0,top
F4,149.2504,-111.6076,-90.0,top
C38,165.608,-117.0432,90.0,top
D11,158.1912,-79.9592,135.0,top
R48,154.8384,-104.394,90.0,top
U8,167.9146,-122.2756,180.0,top
R57,144.5768,-101.7524,180.0,top
C31,161.389,-50.038,0.0,top
C40,169.4688,-56.7944,180.0,top
C43,144.9832,-52.705,180.0,top
C7,150.0632,-64.2112,135.0,top
C47,145.4234,-103.7336,180.0,top
C45,166.6748,-50.5968,-90.0,top
U10,168.2496,-71.2216,0.0,top
Q2,145.1186,-105.664,90.0,top
R61,145.5758,-96.9264,180.0,top
Q1,157.1244,-75.692,-90.0,top
R62,146.8628,-111.379,-90.0,top
C25,143.891,-87.884,90.0,top
R63,146.8628,-99.4664,-90.0,top
C29,163.294,-50.038,180.0,top
Q3,145.1186,-117.9068,90.0,top
U7,161.9632,-47.9404,0.0,top
R31,152.019,-39.116,-90.0,top
C15,149.606,-53.086,0.0,top
C18,157.988,-47.879,90.0,top
R10,155.448,-43.434,180.0,top
C2,148.449,-62.141,90.0,top
R40,165.9128,-63.8556,180.0,top
C48,145.5758,-115.8748,180.0,top
C8,150.241,-60.452,90.0,top
R53,146.8628,-117.5004,-90.0,top
C35,168.4528,-117.348,0.0,top
R22,158.496,-109.728,180.0,top
R26,165.854,-57.191,180.0,top
R46,144.5618,-107.696,180.0,top
J1,144.399,-55.372,180.0,bottom
C34,161.6964,-109.9685,90.0,bottom
J2,160.02,-125.7808,180.0,bottom
IC1,151.4348,-46.2788,-90.0,bottom
J7,169.0,-87.376,90.0,bottom
J4,164.078,-71.433,-90.0,bottom
J10,152.6,-108.474333,90.0,bottom
D15,169.291,-41.656,180.0,bottom
J5,158.877,-34.5948,90.0,bottom
ANT2,147.828,-87.376,-90.0,bottom
D12,149.9108,-33.8328,-90.0,bottom
J8,163.1,-89.876,90.0,bottom
